value_day;funding_rate
2023-08-01;0.089
2023-08-02;0.089
2023-08-03;0.0875
2023-08-04;0.0875
2023-08-05;0.0875
2023-08-06;0.0875
2023-08-07;0.0875
2023-08-08;0.0875
2023-08-09;0.0875
2023-08-10;0.085
2023-08-11;0.085
2023-08-12;0.085
2023-08-13;0.085
2023-08-14;0.085
2023-08-15;0.09
2023-08-16;0.12
2023-08-17;0.125
2023-08-18;0.125
2023-08-19;0.125
2023-08-20;0.125
2023-08-21;0.125
2023-08-22;0.1275
2023-08-23;0.1275
2023-08-24;0.1275
2023-08-25;0.1275
2023-08-26;0.1275
2023-08-27;0.1275
2023-08-28;0.1275
2023-08-29;0.1275
2023-08-30;0.1275
2023-08-31;0.1275
2023-09-01;0.1275
2023-09-02;0.1275
2023-09-03;0.1275
2023-09-04;0.1275
2023-09-05;0.1275
2023-09-06;0.1275
2023-09-07;0.1275
2023-09-08;0.1275
2023-09-09;0.1275
2023-09-10;0.1275
2023-09-11;0.1275
2023-09-12;0.1275
2023-09-13;0.13
2023-09-14;0.13
2023-09-15;0.13
2023-09-16;0.13
2023-09-17;0.13
2023-09-18;0.13
2023-09-19;0.13
2023-09-20;0.1325
2023-09-21;0.1325
2023-09-22;0.13
2023-09-23;0.13
2023-09-24;0.13
2023-09-25;0.13
2023-09-26;0.13
2023-09-27;0.1375
2023-09-28;0.1375
2023-09-29;0.1375
2023-09-30;0.1375
2023-10-01;0.1375
